american_alligator,asian_elephant,axolotl,black_iguana,blue_macaw,coyote,crested_caracara,green_turtle,ocelot,resplendent_quetzal,BIOME,BIO1,BIO4,BIO5,BIO6,BIO12,BIO15,BIO17,BIO18
0,0,0,0,0,1,0,0,0,0,11.0,-0.3201446533203125,997.0329861111111,17.145300971137154,-16.25430467393663,497.6388888888889,56.128085666232636,57.416666666666664,198.83333333333334
0,0,0,0,0,0,0,1,0,0,2.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
0,0,0,0,0,0,0,1,0,0,1.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
0,0,0,0,0,0,0,1,0,0,7.0,19.76361338297526,166.75667317708334,25.416954040527344,13.691927591959635,1889.0,37.96628061930338,299.3333333333333,332.6666666666667
0,0,0,0,0,0,0,1,0,0,2.0,19.76361338297526,166.75667317708334,25.416954040527344,13.691927591959635,1889.0,37.96628061930338,299.3333333333333,332.6666666666667
0,0,0,0,0,0,0,1,0,0,1.0,19.76361338297526,166.75667317708334,25.416954040527344,13.691927591959635,1889.0,37.96628061930338,299.3333333333333,332.6666666666667
0,0,0,0,0,0,0,1,0,0,7.0,22.640769958496094,151.0523681640625,28.7052485148112,16.391255696614582,1228.3333333333333,44.967122395833336,159.66666666666666,168.0
0,0,0,0,0,0,0,1,0,0,1.0,22.640769958496094,151.0523681640625,28.7052485148112,16.391255696614582,1228.3333333333333,44.967122395833336,159.66666666666666,168.0
0,0,0,0,0,0,0,1,0,0,2.0,22.640769958496094,151.0523681640625,28.7052485148112,16.391255696614582,1228.3333333333333,44.967122395833336,159.66666666666666,168.0
0,0,0,0,0,0,0,1,0,0,2.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
0,0,0,0,0,0,0,1,0,0,7.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
0,0,0,0,0,0,0,1,0,0,7.0,22.583689371744793,136.9312947591146,28.15417989095052,16.71789805094401,2227.3333333333335,36.94689178466797,341.0,397.3333333333333
0,0,0,0,0,0,0,1,0,0,2.0,22.583689371744793,136.9312947591146,28.15417989095052,16.71789805094401,2227.3333333333335,36.94689178466797,341.0,397.3333333333333
0,0,0,0,0,0,0,1,0,0,1.0,22.583689371744793,136.9312947591146,28.15417989095052,16.71789805094401,2227.3333333333335,36.94689178466797,341.0,397.3333333333333
0,0,0,0,0,0,0,1,0,0,2.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
0,0,0,0,0,0,0,1,0,0,7.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
0,0,0,0,0,0,0,1,0,0,7.0,20.140416463216145,135.82464599609375,26.03492482503255,13.82070795694987,1660.3333333333333,30.53845977783203,276.1666666666667,319.3333333333333
0,0,0,0,0,0,0,1,0,0,1.0,20.140416463216145,135.82464599609375,26.03492482503255,13.82070795694987,1660.3333333333333,30.53845977783203,276.1666666666667,319.3333333333333
0,0,0,0,0,0,0,1,0,0,2.0,20.140416463216145,135.82464599609375,26.03492482503255,13.82070795694987,1660.3333333333333,30.53845977783203,276.1666666666667,319.3333333333333
0,0,0,0,0,0,0,1,0,0,1.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
0,0,0,0,0,0,0,1,0,0,1.0,20.5950927734375,131.55613708496094,26.152568817138672,14.842292785644531,1594.0,41.98698425292969,248.0,269.0
0,0,0,0,0,0,0,1,0,0,2.0,20.5950927734375,131.55613708496094,26.152568817138672,14.842292785644531,1594.0,41.98698425292969,248.0,269.0
0,0,0,0,0,1,0,0,0,0,6.0,1.7634056939019098,788.1639539930555,16.842025756835938,-11.728485955132378,572.2222222222222,39.446207682291664,84.72222222222223,187.36111111111111
0,0,0,0,0,1,0,0,0,0,11.0,1.7634056939019098,788.1639539930555,16.842025756835938,-11.728485955132378,572.2222222222222,39.446207682291664,84.72222222222223,187.36111111111111
0,0,0,0,0,0,0,1,0,0,7.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
0,0,0,0,0,0,0,1,0,0,2.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
0,0,0,0,0,0,0,1,0,0,7.0,16.836264038085936,125.67432454427083,23.153853352864584,10.05248311360677,1763.6,30.19771728515625,316.06666666666666,367.6333333333333
0,0,0,0,0,0,0,1,0,0,1.0,16.836264038085936,125.67432454427083,23.153853352864584,10.05248311360677,1763.6,30.19771728515625,316.06666666666666,367.6333333333333
0,0,0,0,0,0,0,1,0,0,2.0,16.836264038085936,125.67432454427083,23.153853352864584,10.05248311360677,1763.6,30.19771728515625,316.06666666666666,367.6333333333333
0,0,0,0,0,0,0,1,0,0,2.0,19.547276814778645,121.84568277994792,25.371002197265625,13.384465535481771,1896.0,31.635765075683594,323.0,356.0
0,0,0,0,0,0,0,1,0,0,1.0,19.547276814778645,121.84568277994792,25.371002197265625,13.384465535481771,1896.0,31.635765075683594,323.0,356.0
0,0,0,0,0,0,0,1,0,0,7.0,19.547276814778645,121.84568277994792,25.371002197265625,13.384465535481771,1896.0,31.635765075683594,323.0,356.0
0,0,0,0,0,0,0,1,0,0,1.0,22.38705062866211,99.27781677246094,27.483028411865234,17.014366149902344,2584.0,30.344852447509766,439.0,513.0
0,0,0,0,0,1,0,0,0,0,6.0,-8.260782877604166,1402.2963324652778,17.139395819769966,-28.88628472222222,320.3333333333333,60.27826605902778,37.833333333333336,151.25
0,0,0,0,0,1,0,0,0,0,11.0,-8.260782877604166,1402.2963324652778,17.139395819769966,-28.88628472222222,320.3333333333333,60.27826605902778,37.833333333333336,151.25
0,0,0,0,0,1,0,0,0,0,5.0,2.6632206128991167,653.4033627717391,15.935642408288043,-8.917043271272078,844.1304347826087,32.94149116847826,126.30434782608695,162.08695652173913
0,0,0,0,0,1,0,0,0,0,6.0,2.6632206128991167,653.4033627717391,15.935642408288043,-8.917043271272078,844.1304347826087,32.94149116847826,126.30434782608695,162.08695652173913
0,0,0,0,0,1,0,0,0,0,11.0,2.6632206128991167,653.4033627717391,15.935642408288043,-8.917043271272078,844.1304347826087,32.94149116847826,126.30434782608695,162.08695652173913
0,0,0,0,0,1,0,0,0,0,6.0,-1.699999976072182e+37,-1.699999976072182e+37,-1.699999976072182e+37,-1.699999976072182e+37,-1.699999976072182e+37,-1.699999976072182e+37,-1.699999976072182e+37,-1.699999976072182e+37
0,0,0,0,0,1,0,0,0,0,11.0,-4.29081047905816,1286.0345052083333,19.89810350206163,-26.023123847113716,469.5833333333333,61.31201171875,59.22222222222222,221.36111111111111
0,0,0,0,0,1,0,0,0,0,99.0,-4.29081047905816,1286.0345052083333,19.89810350206163,-26.023123847113716,469.5833333333333,61.31201171875,59.22222222222222,221.36111111111111
0,0,0,0,0,1,0,0,0,0,6.0,-4.29081047905816,1286.0345052083333,19.89810350206163,-26.023123847113716,469.5833333333333,61.31201171875,59.22222222222222,221.36111111111111
0,0,0,0,0,1,0,0,0,0,11.0,-9.667843288845486,1375.3424479166667,15.234285142686632,-28.765672471788193,247.94444444444446,65.46910942925348,28.444444444444443,123.30555555555556
0,0,0,0,0,1,0,0,0,0,5.0,0.9194878169468471,572.766369047619,12.764742896670388,-8.902220953078498,1057.1904761904761,36.400079636346724,156.42857142857142,199.1904761904762
0,0,0,0,0,1,0,0,0,0,11.0,0.9194878169468471,572.766369047619,12.764742896670388,-8.902220953078498,1057.1904761904761,36.400079636346724,156.42857142857142,199.1904761904762
0,0,0,0,0,1,0,0,0,0,99.0,0.9194878169468471,572.766369047619,12.764742896670388,-8.902220953078498,1057.1904761904761,36.400079636346724,156.42857142857142,199.1904761904762
0,0,0,0,0,1,0,0,0,0,6.0,0.9194878169468471,572.766369047619,12.764742896670388,-8.902220953078498,1057.1904761904761,36.400079636346724,156.42857142857142,199.1904761904762
0,0,0,0,0,1,0,0,0,0,99.0,1.7141984122140066,774.5084263392857,16.673700823102678,-11.65132533482143,865.8571428571429,42.260546875,120.4,184.0
0,0,0,0,0,1,0,0,0,0,6.0,1.7141984122140066,774.5084263392857,16.673700823102678,-11.65132533482143,865.8571428571429,42.260546875,120.4,184.0
0,0,0,0,0,1,0,0,0,0,11.0,1.7141984122140066,774.5084263392857,16.673700823102678,-11.65132533482143,865.8571428571429,42.260546875,120.4,184.0
0,0,0,0,0,1,0,0,0,0,6.0,1.409064769744873,964.196044921875,19.4913272857666,-15.450272560119629,754.46875,44.78550720214844,107.75,220.875
